Time (s),Input u(t),Output y(t)
13.4,0,0.27618161
13.45,1,0.251583649
13.5,1,0.235249303
13.55,1,0.226588611
13.6,0,0.224916423
13.65,0,0.218687624
13.7,1,0.208548992
13.75,1,0.205946657
13.8,1,0.21008317
13.85,0,0.22010909
13.9,1,0.224356776
13.95,0,0.234180121
14,1,0.237951244
14.05,0,0.247065083
14.1,1,0.249935073
14.15,1,0.257996837
14.2,0,0.270493083
14.25,0,0.275868599
14.3,0,0.274815317
14.35,0,0.268082557
14.4,1,0.256454731
14.45,1,0.251520817
14.5,1,0.25262784
14.55,1,0.259069211
14.6,0,0.270105702
14.65,1,0.274194736
14.7,1,0.282825792
14.75,0,0.29530305
14.8,1,0.300138237
14.85,1,0.308883647
14.9,0,0.320912506
14.95,1,0.324809648
15,1,0.332202539
15.05,0,0.34253982
15.1,1,0.344480365
15.15,1,0.349722898
15.2,1,0.357783348
15.25,1,0.368172933
15.3,0,0.380409006
15.35,0,0.383234549
15.4,0,0.377654275
15.45,1,0.364736624
15.5,1,0.356374017
15.55,1,0.352227729
15.6,0,0.351908381
15.65,1,0.344199885
15.7,0,0.340890602
15.75,1,0.330762807
15.8,0,0.32559137
15.85,0,0.314134845
15.9,0,0.297345808
15.95,0,0.276181614
16,1,0.251583659
16.05,1,0.235249317
16.1,1,0.226588629
16.15,0,0.224916444
16.2,0,0.218687647
16.25,1,0.208549017
16.3,1,0.205946682
16.35,1,0.210083196
16.4,0,0.220109115
16.45,1,0.2243568
16.5,0,0.234180143
16.55,1,0.237951266
16.6,0,0.247065102
16.65,1,0.24993509
16.7,1,0.257996852
16.75,0,0.270493095
16.8,0,0.275868609
16.85,0,0.274815325
16.9,0,0.268082563
16.95,1,0.256454735
17,1,0.251520819
17.05,1,0.25262784
17.1,1,0.25906921
17.15,0,0.2701057
17.2,1,0.274194733
17.25,1,0.282825787
17.3,0,0.295303045
17.35,1,0.300138231
17.4,1,0.308883641
17.45,0,0.3209125
17.5,1,0.324809641
17.55,1,0.332202532
17.6,0,0.342539814
17.65,1,0.344480359
17.7,1,0.349722893
17.75,1,0.357783343
17.8,1,0.368172928
17.85,0,0.380409002
17.9,0,0.383234546
17.95,0,0.377654272
18,1,0.364736622
18.05,1,0.356374016
18.1,1,0.352227728
18.15,0,0.351908381
18.2,1,0.344199885
18.25,0,0.340890602
18.3,1,0.330762807
18.35,0,0.325591371
18.4,0,0.314134846
18.45,0,0.297345809
18.5,0,0.276181616
18.55,1,0.25158366
18.6,1,0.235249319
18.65,1,0.22658863
18.7,0,0.224916446
18.75,0,0.218687648
18.8,1,0.208549018
18.85,1,0.205946683
18.9,1,0.210083197
18.95,0,0.220109116
19,1,0.224356801
19.05,0,0.234180144
19.1,1,0.237951266
19.15,0,0.247065103
19.2,1,0.249935091
19.25,1,0.257996853
19.3,0,0.270493096
19.35,0,0.275868609
19.4,0,0.274815325
19.45,0,0.268082563
19.5,1,0.256454735
19.55,1,0.251520819
19.6,1,0.25262784
19.65,1,0.259069209
